Animal Welfare & Control,Waste Management Planning,Land Drainage,Collection of Charges,Housing & Building,"Waste Regulations, Monitoring & Enforcement",Safety of Structures & Places,Landfill Operation & Aftercare,Franchise Costs,Community Sport & Recreational Development,Maintenance of Local Authority Housing,Waste Water Treatment,Local Representatives,Tourism Development & Promotion,Arts Council,Agriculture Fisheries and Food,Planning Fees,Clean Streets,Stores,Fire Services,Commercial Refuse,Enforcement & Building Control,Social Housing Administration and Development,Housing Grants,Coastal Protection,Water Supply,Road Maintenance,Agency and Recoupable Services,Operation of Markets & Casual Trading,Development Management,"Jobs, Enterprise and Innovation",County,Separate Charges,Housing Loans,Arts Programme,Social Protection,NPPR,General Purpose Grant,Fire Prevention,Water,Property Management,Support to Roads Capital Programme,Population,Local Economic Development,Outdoor Leisure Areas,Machinery,Environmental Services,County Charge,Waste to Energy Facilities,Landfill Charges,Housing Loans Interest & Charges,Morgue & Coroner Expenses,Local Authority Contributions,Recovery & Recycling Facilities,Support to Water Capital Programme,Public Conveniences,Administration of Rates,Environment,Car Parking,Traffic Management,Rates,Sale/leasing of other property / Industrial Sites,Administration of Homeless Service,Support to Housing Capital Programme,Agency Services & Repayable Works,"Water Quality, Air & Noise Pollution",Recreation / Amenity / Culture,Justice Equality and Law Reform,Motor Taxation,Misc. (Detail),Provision of Waste to Collection Services,"Arts, Heritage & Gaeltacht","Transport, Tourism & Sport",Grants & Subsidies,Total Income,Public Lighting,Road Transport & Safety,Libraries,Rents from Houses,Goods & Services,Piers & Harbours,NTA,Water Services,Defence,Fire Charges,Superannuation,Rental Accommodation Scheme and Leasing Programme,Other,Heritage & Conservation Services,Admininstration of Group and Private Installations,Educational Support Services,Unfinished Housing Estates,Malicious Damage,Total Expenditure,Library Council,Pension-Related Deduction,Burial Grounds Maintenance,Domestic Refuse,Education and Skills,Parking Fines/Charges,Road Safety & Promotion,Recreation & Amenity,NRA,Weighbridges,Library Fees/Fines,Provision for Debit Balance,Leisure Facilities,Provision for Credit Balance
147475.0,85577.0,55047.0,188090.0,10648375.0,297498.0,352333.0,2849901.0,148480.0,91957.0,2132482.0,3786159.0,1023086.0,96197.0,74150.0,0.0,143800.0,940315.0,0.0,2545182.0,0.0,447910.0,697507.0,385834.0,0.0,3734661.0,7513139.0,1046750.0,27395.0,885494.0,0.0,Carlow,0.0,637909.0,1133605.0,0.0,30000.0,5352470.0,183266.0,7649796.0,27648.0,211765.0,54612.0,1921196.0,1022970.0,227325.0,8048011.0,0.0,0.0,2640000.0,351770.0,88226.0,1913900.0,283524.0,0.0,82185.0,5113846.0,6007400.0,241703.0,241300.0,14439100.0,13400.0,156835.0,2164330.0,185700.0,312069.0,0.0,841800.0,606114.0,1682650.0,0.0,0.0,0.0,11761550.0,53295065.0,822423.0,9596957.0,1488429.0,5116429.0,20919945.0,0.0,0.0,8257279.0,49900.0,150000.0,521000.0,4375228.0,0.0,7533.0,21134.0,820629.0,56157.0,0.0,53295065.0,0.0,822000.0,193346.0,0.0,693000.0,495000.0,374927.0,3786235.0,4095300.0,0.0,26500.0,0.0,49274.0,0.0
514607.0,103766.0,113440.0,238320.0,6155131.0,457094.0,254630.0,767825.0,133854.0,240728.0,1124172.0,4473589.0,1266605.0,292808.0,73500.0,0.0,105295.0,138396.0,102771.0,3593332.0,0.0,170504.0,754590.0,116626.0,0.0,4006027.0,15163610.0,1131862.0,18595.0,829992.0,756551.0,Cavan,0.0,419246.0,1116590.0,0.0,100000.0,8284360.0,247991.0,8686773.0,19034.0,461665.0,73183.0,2104662.0,61034.0,142633.0,6603518.0,939130.0,0.0,0.0,188909.0,119029.0,495994.0,350572.0,220332.0,30507.0,2061583.0,6420700.0,173994.0,392234.0,11256279.0,20000.0,54476.0,663613.0,0.0,652472.0,0.0,0.0,704115.0,1975808.0,5189.0,0.0,0.0,19292905.0,56798276.0,506694.0,17093123.0,1697618.0,3401872.0,15935602.0,0.0,0.0,12327163.0,62000.0,170000.0,740001.0,3020571.0,570710.0,155394.0,3131799.0,777235.0,90471.0,63487.0,56798276.0,0.0,1090000.0,32251.0,0.0,654376.0,10650.0,141570.0,3320635.0,10755068.0,0.0,40300.0,0.0,204403.0,0.0
609579.0,188183.0,26183.0,1866009.0,10714764.0,653232.0,733271.0,1655692.0,262874.0,26000.0,1860220.0,7067713.0,1552572.0,4980900.0,64000.0,0.0,127500.0,1732742.0,0.0,4178542.0,0.0,1305647.0,1384680.0,1562021.0,0.0,11019592.0,18070837.0,164248.0,40277.0,1113048.0,876885.0,Clare,0.0,1004988.0,728120.0,0.0,40000.0,2506000.0,780404.0,20406440.0,69389.0,275831.0,117196.0,3063164.0,1130479.0,410347.0,12779213.0,485000.0,0.0,485000.0,364200.0,210466.0,807348.0,1656522.0,726363.0,90675.0,6625676.0,6054208.0,219451.0,11452.0,36194349.0,387500.0,371865.0,1104241.0,0.0,844657.0,5154600.0,0.0,1489590.0,1367882.0,0.0,0.0,0.0,22424711.0,98412230.0,1172743.0,20140832.0,3899685.0,4145000.0,35086940.0,51644.0,0.0,21979155.0,90000.0,248000.0,1250970.0,3426749.0,514000.0,255684.0,1208803.0,2827990.0,95845.0,0.0,98412230.0,0.0,1715230.0,310968.0,0.0,2667882.0,198500.0,362919.0,7468971.0,12157736.0,0.0,104000.0,0.0,1684687.0,0.0
2599221.0,751451.0,174148.0,3836954.0,37856743.0,2448506.0,1753768.0,4963038.0,381876.0,1727667.0,7546150.0,19322284.0,2551975.0,535893.0,50000.0,0.0,963000.0,1561391.0,627965.0,12711795.0,0.0,2084568.0,3839593.0,5832963.0,376500.0,33427574.0,61771587.0,13880471.0,173010.0,9632714.0,2125000.0,Cork,0.0,6964971.0,1238658.0,0.0,6500000.0,32583600.0,1887485.0,14650000.0,638246.0,645836.0,399802.0,10700716.0,2857201.0,880070.0,36125604.0,4955501.0,0.0,660000.0,2182900.0,602271.0,2500571.0,5203747.0,196134.0,598162.0,18608638.0,17768253.0,1286432.0,312656.0,113771892.0,474200.0,365578.0,5134980.0,5000.0,1751857.0,265400.0,4000.0,5127528.0,23328314.0,0.0,0.0,0.0,74955191.0,306696370.0,5417860.0,71269410.0,8951176.0,14657375.0,71835175.0,1069346.0,0.0,63041846.0,209000.0,839000.0,4014004.0,8058425.0,2849488.0,370805.0,2084640.0,8616498.0,841894.0,0.0,306696370.0,0.0,5595011.0,3013515.0,0.0,7938800.0,608911.0,414863.0,16432150.0,44010650.0,45281.0,186500.0,0.0,1202825.0,3000000.0
110300.0,452500.0,0.0,337500.0,42908600.0,384100.0,678400.0,1817900.0,404400.0,1204200.0,16195000.0,12905700.0,1467000.0,791900.0,0.0,0.0,211000.0,7296300.0,0.0,15417700.0,0.0,1062600.0,7398600.0,2179900.0,0.0,9402700.0,10959000.0,239900.0,160400.0,2028500.0,0.0,Cork City,0.0,1554500.0,2380300.0,245800.0,100000.0,8544400.0,1633500.0,22239300.0,2000.0,1285300.0,119230.0,4764400.0,8569400.0,0.0,30565200.0,0.0,0.0,1261200.0,936200.0,864800.0,1764200.0,1251600.0,0.0,52800.0,8304200.0,7738500.0,4642600.0,4795800.0,65165800.0,0.0,5381600.0,1888500.0,291600.0,403200.0,537500.0,0.0,0.0,6653600.0,0.0,0.0,0.0,16012200.0,165227600.0,2848300.0,25416100.0,7337900.0,26516000.0,71727400.0,0.0,0.0,22712700.0,82000.0,152000.0,2341800.0,7917900.0,107000.0,505500.0,0.0,1915300.0,0.0,0.0,165227600.0,50000.0,3400000.0,1230000.0,0.0,1596500.0,8540100.0,878900.0,20645300.0,6192400.0,74200.0,182900.0,0.0,1153500.0,377800.0
662298.0,362.0,15742.0,1451308.0,13959319.0,257628.0,594643.0,1862629.0,382367.0,288.0,3512686.0,8150409.0,1247755.0,745509.0,200000.0,0.0,320000.0,1132385.0,3550.0,5807482.0,0.0,1158445.0,2489610.0,787044.0,0.0,21242576.0,33588657.0,7420388.0,23637.0,2493298.0,0.0,Donegal,0.0,1477040.0,1535079.0,0.0,150000.0,22720760.0,399463.0,29563323.0,43517.0,958104.0,161137.0,5114664.0,271781.0,4314735.0,11302021.0,2939944.0,0.0,0.0,883189.0,305651.0,1174548.0,558049.0,2253672.0,249004.0,4782401.0,4425560.0,335554.0,104233.0,21557374.0,597793.0,279159.0,1814163.0,16200.0,602361.0,0.0,0.0,1990030.0,16912322.0,45309.0,0.0,0.0,27979776.0,138600135.0,1920392.0,37481298.0,3604294.0,8583906.0,60952281.0,1646925.0,0.0,33989019.0,77070.0,562000.0,1769000.0,3570722.0,484596.0,147915.0,126409.0,3103671.0,116567.0,0.0,138600135.0,25000.0,2450000.0,41710.0,0.0,2705612.0,355000.0,501438.0,5750298.0,20061938.0,219.0,65000.0,0.0,338856.0,0.0
755366.0,3066972.0,0.0,853458.0,204295867.0,3687229.0,3763199.0,4793460.0,1047573.0,16281213.0,60522636.0,70796183.0,4459011.0,1349153.0,0.0,138000.0,1000000.0,41949206.0,0.0,108542491.0,0.0,3872251.0,36783469.0,12313104.0,0.0,55686051.0,29700934.0,2161308.0,1549662.0,6322226.0,1349874.0,Dublin City,0.0,18213833.0,8772172.0,620000.0,2500000.0,2667330.0,2349506.0,118198526.0,289936.0,3799233.0,527612.0,20525340.0,22664656.0,0.0,179727470.0,0.0,17600.0,0.0,12116010.0,3622532.0,54736250.0,3778953.0,341581.0,200130.0,59490618.0,61030984.0,12177737.0,18644267.0,342336608.03000003,1859951.0,45885598.0,8652456.0,9840500.0,869226.0,4733794.0,248141.0,13096106.0,23118523.0,6034911.0,0.0,325205.0,80000115.0,805667813.23,9909018.0,78566338.0,23767755.0,72800000.0,342905593.0,0.0,0.0,132197207.0,345000.0,1350000.0,11858539.0,21924771.0,2742811.0,1631056.0,0.0,6987863.0,0.0,114176.0,805667813.23,0.0,16000000.0,21357.0,0.0,4239100.0,28450000.0,3034276.0,80616807.0,8961000.0,0.0,343500.0,2989947.2299999967,9128511.0,21758167.20000001
326200.0,25000.0,0.0,467700.0,30594400.0,816700.0,472300.0,4987400.0,463900.0,2533800.0,9015600.0,12607200.0,1824100.0,219500.0,87500.0,0.0,433300.0,7273300.0,0.0,13666700.0,0.0,1630500.0,3624200.0,1848500.0,0.0,7876800.0,12114400.0,250800.0,173200.0,4604100.0,461000.0,Dun Laoghaire,0.0,2188000.0,2694900.0,1700100.0,300000.0,5724000.0,0.0,18096400.0,801300.0,1066700.0,206261.0,4698700.0,11118000.0,0.0,31826700.0,0.0,0.0,0.0,422300.0,331300.0,3580600.0,1635000.0,487100.0,90100.0,12584300.0,11887700.0,2644400.0,4101600.0,83069400.0,274600.0,1016000.0,3741200.0,0.0,69800.0,277500.0,0.0,0.0,7450500.0,852900.0,0.0,0.0,20018700.0,165494400.0,5106600.0,26868600.0,6962000.0,13887500.0,52482300.0,0.0,200000.0,21528900.0,0.0,102000.0,2080600.0,8776800.0,742600.0,213100.0,0.0,1455900.0,10000.0,32000.0,165494400.0,0.0,2700000.0,2027600.0,0.0,900000.0,5417000.0,1167900.0,25055900.0,4039800.0,1000.0,160000.0,0.0,0.0,1500000.0
437300.0,344000.0,0.0,630600.0,40049300.0,1099900.0,1301100.0,6759100.0,735600.0,2999200.0,9238100.0,15424600.0,2109200.0,467900.0,0.0,0.0,719500.0,6671300.0,223200.0,17989800.0,100000.0,1725400.0,4163900.0,2344700.0,0.0,19908400.0,14009600.0,1190100.0,0.0,5587200.0,235300.0,Fingal,0.0,6219900.0,3994000.0,0.0,250000.0,428100.0,156800.0,35999700.0,775300.0,2007200.0,273991.0,8123400.0,13303300.0,0.0,42136300.0,0.0,1001400.0,0.0,3407700.0,441000.0,161400.0,3248300.0,1984500.0,387200.0,12307100.0,14469100.0,999800.0,1459500.0,118258200.0,870200.0,917200.0,2515200.0,85300.0,1230500.0,1046000.0,0.0,0.0,6125100.0,0.0,0.0,80000.0,22879300.0,217579300.0,4242400.0,24089500.0,11206300.0,16932700.0,71098300.0,272800.0,0.0,38415600.0,0.0,430000.0,2481000.0,14496700.0,890500.0,256900.0,0.0,2575500.0,0.0,8900.0,217579300.0,85000.0,3341500.0,2334100.0,392100.0,1493500.0,1932700.0,1286900.0,33603400.0,5625900.0,6200.0,164900.0,2042200.0,2100600.0,1573900.0
941828.0,269654.0,826345.0,834458.0,10947540.0,420461.0,763874.0,62126.0,292860.0,573263.0,3290135.0,6326953.0,1204239.0,164755.0,62000.0,0.0,472000.0,2037681.0,93353.0,10590207.0,0.0,949704.0,1331622.0,685827.0,21541.0,14575436.0,28849080.0,958741.0,25130.0,2131479.0,250000.0,Galway,0.0,1364092.0,344748.0,0.0,145000.0,12106381.0,639138.0,23445403.0,0.0,987678.0,175124.0,2425068.0,325329.0,1835737.0,16883282.0,0.0,0.0,0.0,1385000.0,496000.0,7499447.0,676626.0,1803899.0,420129.0,2565957.0,6404343.0,845905.0,914609.0,23939107.0,35000.0,235242.0,828624.0,0.0,768196.0,0.0,8000.0,2365172.0,3878881.0,84751.0,0.0,0.0,37307005.0,121802429.0,1117996.0,33613908.0,4852829.0,5950000.0,45744936.0,1152984.0,0.0,27066955.0,80000.0,636705.0,1490000.0,3211248.0,4240471.0,425367.0,2996837.0,5438840.0,262510.0,16000.0,121802429.0,156600.0,2125000.0,570568.0,0.0,5400000.0,667500.0,347773.0,8010833.0,20705591.0,5000.0,140000.0,0.0,14200.0,580000.0
128398.0,74842.0,24500.0,517601.0,17139694.0,339645.0,268615.0,337575.0,213810.0,1712749.0,5094960.0,4421117.0,1172563.0,240701.0,25000.0,0.0,284600.0,2528150.0,55939.0,4228382.0,0.0,358296.0,1566973.0,332112.0,0.0,5180079.0,7152629.0,1314074.0,33976.0,968317.0,0.0,Galway City,0.0,1597956.0,3946151.0,0.0,255000.0,1626429.0,0.0,10294726.0,165525.0,24762.0,75529.0,1483548.0,2754047.0,85998.0,9681046.0,0.0,0.0,0.0,631000.0,180000.0,100000.0,319496.0,120199.0,149477.0,7848034.0,7230553.0,1428102.0,5256586.0,35065099.0,95300.0,1835566.0,665315.0,121182.0,111181.0,3804892.0,0.0,0.0,801476.0,706707.0,0.0,0.0,14933078.0,80711956.0,1626403.0,16044541.0,1584739.0,7545900.0,28140079.0,0.0,3796000.0,10800954.0,0.0,0.0,730003.0,6046812.0,552328.0,226159.0,50000.0,69572.0,117201.0,0.0,80711956.0,0.0,947271.0,601477.0,12000.0,0.0,3464000.0,468733.0,12359110.0,3329197.0,0.0,0.0,0.0,2080072.0,0.0
794148.0,42000.0,99205.0,1239436.0,15847207.0,542189.0,727892.0,3063076.0,324816.0,233446.0,3194610.0,2905660.0,1545926.0,536888.0,25000.0,0.0,331000.0,475935.0,0.0,5285745.0,0.0,1543641.0,1633808.0,2098826.0,25000.0,7154321.0,23436508.0,1783277.0,3327.0,2384162.0,334000.0,Kerry,0.0,1219145.0,297083.0,0.0,525000.0,9877123.0,648257.0,12100166.0,59061.0,2279065.0,145502.0,2182338.0,720920.0,0.0,13608808.0,6330697.0,0.0,1609400.0,740000.0,384393.0,767650.0,939940.0,1001800.0,581188.0,3467761.0,8634652.0,530906.0,22554.0,21050000.0,74200.0,833095.0,1030196.0,733769.0,922439.0,0.0,0.0,1623539.0,6735460.0,0.0,7000.0,0.0,26657494.0,98775340.0,1107962.0,28161861.0,3454292.0,6497690.0,32510026.0,1118036.0,0.0,15025749.0,120000.0,322220.0,1939471.0,5837527.0,599200.0,371660.0,1945539.0,3178796.0,0.0,0.0,98775340.0,0.0,2350000.0,961335.0,0.0,2995700.0,56000.0,423192.0,4705741.0,13941942.0,0.0,78000.0,0.0,0.0,0.0
557851.0,85135.0,300709.0,478038.0,21685363.0,3266994.0,472789.0,961359.0,399521.0,310776.0,3803619.0,12309932.0,1900983.0,118000.0,0.0,0.0,602175.0,2786073.0,0.0,5307930.0,0.0,1103265.0,1749736.0,2642996.0,0.0,10741508.0,12948539.0,1171733.0,10000.0,3214818.0,0.0,Kildare,0.0,2887853.0,752102.0,0.0,0.0,9347000.0,504115.0,24597000.0,0.0,2623255.0,210312.0,2260388.0,552725.0,0.0,14071882.0,3077632.0,0.0,0.0,1886000.0,307493.0,188838.0,103836.0,1173045.0,70000.0,12695336.0,10207296.0,1527736.0,855665.0,47660163.0,142000.0,1108925.0,3810682.0,66000.0,35000.0,380000.0,5000.0,2321335.0,4922540.0,0.0,40000.0,0.0,20153887.0,123037551.0,3363082.0,22184418.0,5417234.0,4800000.0,40874253.0,0.0,4943380.0,25178416.0,85000.0,390000.0,1077000.0,5681552.0,446875.0,447803.0,405893.0,4480004.0,602485.0,1000.0,123037551.0,0.0,1924616.0,548651.0,0.0,3992377.0,1702700.0,811852.0,7887373.0,433959.0,6411.0,120000.0,0.0,854536.0,0.0
477600.0,52800.0,30200.0,467800.0,11354000.0,319200.0,173000.0,390400.0,239700.0,15100.0,2045500.0,4525800.0,1039600.0,430100.0,0.0,0.0,216000.0,774000.0,0.0,3861100.0,0.0,484000.0,1042800.0,1427900.0,0.0,6892500.0,11908700.0,278200.0,0.0,1246900.0,0.0,Kilkenny,0.0,1727300.0,332300.0,0.0,25000.0,8477700.0,310000.0,12015100.0,57500.0,359100.0,95419.0,1440500.0,662100.0,0.0,7036500.0,1760000.0,700.0,460000.0,1381000.0,73900.0,77000.0,731100.0,336100.0,106700.0,2608500.0,13790100.0,2100.0,27500.0,12119800.0,9400.0,503800.0,506300.0,0.0,253700.0,0.0,0.0,957800.0,1094700.0,200.0,60000.0,316400.0,16371700.0,61298300.0,909200.0,13778600.0,2745100.0,4900000.0,21369100.0,0.0,0.0,13576000.0,48000.0,350000.0,800000.0,4066100.0,70500.0,421100.0,1205300.0,1428400.0,50200.0,0.0,61298300.0,12700.0,1200000.0,152900.0,0.0,1260500.0,0.0,72100.0,3960500.0,813500.0,4900.0,40900.0,0.0,205600.0,0.0
